Local Health Jurisdiction,Census Tract,Number of indicators,At least 25% of the residential parcels were built before 1978,Census tract is within 1.7 miles of a current or former lead emitting facility,"Census tract is within 1,000 feet of a state highway",Census tract is within the city of a known current or historic smelter,Census tract is within 1 km of an airport using leaded avgas,Census tract is within 1 km of a railroad,"Census tract is within 1,000 feet of a speedway",Census tract is served by a water district with at least one known leaded service line or fitting
Los Angeles,06037227010,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037227020,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037228100,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037228210,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037228220,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037228310,3,Yes,Yes,No,Yes,No,No,No,No
Los Angeles,06037228320,3,Yes,Yes,No,Yes,No,No,No,No
Los Angeles,06037228410,3,Yes,Yes,No,Yes,No,No,No,No
Los Angeles,06037228420,3,Yes,Yes,No,Yes,No,No,No,No
Los Angeles,06037228500,3,Yes,Yes,No,Yes,No,No,No,No
Los Angeles,06037228600,3,Yes,Yes,No,Yes,No,No,No,No
Los Angeles,06037228710,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037228720,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037228800,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037228900,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037229100,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037229200,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037229300,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037229410,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037229420,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037231100,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037231210,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037231220,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037231301,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037231302,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037231400,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037231500,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037231601,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037231602,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037231603,3,Yes,Yes,No,Yes,No,No,No,No
Los Angeles,06037231710,3,Yes,Yes,No,Yes,No,No,No,No
Los Angeles,06037231720,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037231800,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037231901,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037231902,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037232110,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037232120,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037232200,3,Yes,Yes,No,Yes,No,No,No,No
Los Angeles,06037232300,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037232401,3,Yes,No,No,Yes,No,Yes,No,No
Los Angeles,06037232402,3,Yes,No,No,Yes,No,Yes,No,No
Los Angeles,06037232500,3,Yes,No,No,Yes,No,Yes,No,No
Los Angeles,06037232601,3,Yes,No,No,Yes,No,Yes,No,No
Los Angeles,06037232602,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037232701,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037232702,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037232800,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037234001,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037234002,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037234200,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037234301,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037234302,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037234501,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037234502,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037234600,3,Yes,No,No,Yes,No,Yes,No,No
Los Angeles,06037234700,3,Yes,No,No,Yes,No,Yes,No,No
Los Angeles,06037234800,3,Yes,No,No,Yes,No,Yes,No,No
Los Angeles,06037234901,3,Yes,No,No,Yes,No,Yes,No,No
Los Angeles,06037234902,3,Yes,No,No,Yes,No,Yes,No,No
Los Angeles,06037235100,3,Yes,No,No,Yes,No,Yes,No,No
Los Angeles,06037235201,3,Yes,No,No,Yes,No,Yes,No,No
Los Angeles,06037235202,3,Yes,No,No,Yes,No,Yes,No,No
Los Angeles,06037236001,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037236101,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037236102,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037236203,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037236204,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037236205,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037236206,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037236400,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037237101,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037237102,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037237201,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037237202,3,Yes,No,No,Yes,No,Yes,No,No
Los Angeles,06037237300,3,Yes,No,No,Yes,No,Yes,No,No
Los Angeles,06037237401,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037237402,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037237500,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037237600,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037237710,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037237720,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037237800,3,Yes,Yes,No,Yes,No,No,No,No
Los Angeles,06037237900,3,Yes,No,No,Yes,No,Yes,No,No
Los Angeles,06037238000,3,Yes,Yes,No,Yes,No,No,No,No
Los Angeles,06037238100,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037238200,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037238310,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037238320,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037238400,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037239201,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037239202,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037239310,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037239320,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037239330,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037239501,3,Yes,Yes,No,Yes,No,No,No,No
Los Angeles,06037239502,3,Yes,Yes,No,Yes,No,No,No,No
Los Angeles,06037239601,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037239602,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037239701,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037239702,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037239801,3,Yes,Yes,No,Yes,No,No,No,No
Los Angeles,06037239802,3,Yes,Yes,No,Yes,No,No,No,No
Los Angeles,06037240010,3,Yes,Yes,No,Yes,No,No,No,No
Los Angeles,06037240020,3,Yes,Yes,No,Yes,No,No,No,No
Los Angeles,06037240200,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037240301,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037240302,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037240401,3,Yes,No,Yes,Yes,No,No,No,No
Los Angeles,06037240402,3,Yes,No,Yes,Yes,No,No,No,No
Los Angeles,06037240500,3,Yes,No,Yes,Yes,No,No,No,No
Los Angeles,06037240600,3,Yes,No,No,Yes,No,Yes,No,No
Los Angeles,06037240700,3,Yes,No,No,Yes,No,Yes,No,No
Los Angeles,06037240800,3,Yes,No,No,Yes,No,Yes,No,No
Los Angeles,06037240901,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037240902,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037241001,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037241002,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037241110,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037241120,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037241201,3,Yes,No,Yes,Yes,No,No,No,No
Los Angeles,06037241202,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037241300,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037241400,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037242000,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037242100,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037242201,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037242202,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037242300,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037242600,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037242700,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037243001,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037243002,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037243100,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037261102,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037261103,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037261104,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037261200,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037262100,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037262200,3,Yes,No,Yes,Yes,No,No,No,No
Los Angeles,06037262301,3,Yes,No,Yes,Yes,No,No,No,No
Los Angeles,06037262302,3,Yes,No,Yes,Yes,No,No,No,No
Los Angeles,06037262303,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037262400,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037262501,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037262601,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037262604,3,Yes,No,Yes,Yes,No,No,No,No
Los Angeles,06037262704,3,Yes,No,Yes,Yes,No,No,No,No
Los Angeles,06037262706,3,Yes,No,Yes,Yes,No,No,No,No
Los Angeles,06037262802,3,Yes,No,Yes,Yes,No,No,No,No
Los Angeles,06037264000,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037264102,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037264103,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037264303,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037264304,3,Yes,Yes,No,Yes,No,No,No,No
Los Angeles,06037264305,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037264306,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037265100,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037265201,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037265203,3,Yes,Yes,No,Yes,No,No,No,No
Los Angeles,06037265204,3,Yes,Yes,No,Yes,No,No,No,No
Los Angeles,06037265301,1,No,No,No,Yes,No,No,No,No
Los Angeles,06037265303,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037265304,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037265306,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037265307,3,Yes,Yes,No,Yes,No,No,No,No
Los Angeles,06037265410,3,Yes,No,Yes,Yes,No,No,No,No
Los Angeles,06037265420,3,Yes,No,Yes,Yes,No,No,No,No
Los Angeles,06037265521,3,Yes,Yes,No,Yes,No,No,No,No
Los Angeles,06037265522,3,Yes,Yes,No,Yes,No,No,No,No
Los Angeles,06037265523,3,Yes,Yes,No,Yes,No,No,No,No
Los Angeles,06037265524,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037265601,3,Yes,Yes,No,Yes,No,No,No,No
Los Angeles,06037265602,3,Yes,Yes,No,Yes,No,No,No,No
Los Angeles,06037265701,3,Yes,Yes,No,Yes,No,No,No,No
Los Angeles,06037265702,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037267101,3,Yes,Yes,No,Yes,No,No,No,No
Los Angeles,06037267102,3,Yes,Yes,No,Yes,No,No,No,No
Los Angeles,06037267201,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037267202,3,Yes,Yes,No,Yes,No,No,No,No
Los Angeles,06037267300,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037267403,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037267404,3,No,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037267405,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037267406,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037267502,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037267503,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037267504,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037267600,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037267700,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037267800,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037267901,3,Yes,Yes,No,Yes,No,No,No,No
Los Angeles,06037267902,3,Yes,Yes,No,Yes,No,No,No,No
Los Angeles,06037269000,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037269100,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037269300,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037269500,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037269601,3,Yes,No,Yes,Yes,No,No,No,No
Los Angeles,06037269602,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037269700,3,Yes,No,Yes,Yes,No,No,No,No
Los Angeles,06037269800,3,Yes,No,Yes,Yes,No,No,No,No
Los Angeles,06037269903,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037269905,3,Yes,No,Yes,Yes,No,No,No,No
Los Angeles,06037269906,3,Yes,No,Yes,Yes,No,No,No,No
Los Angeles,06037269907,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037269908,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037269909,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037270101,3,Yes,No,Yes,Yes,No,No,No,No
Los Angeles,06037270102,3,Yes,No,Yes,Yes,No,No,No,No
Los Angeles,06037270200,3,Yes,No,Yes,Yes,No,No,No,No
Los Angeles,06037270300,3,Yes,No,Yes,Yes,No,No,No,No
Los Angeles,06037271100,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037271200,5,Yes,Yes,Yes,Yes,Yes,No,No,No
Los Angeles,06037271300,5,Yes,Yes,Yes,Yes,Yes,No,No,No
Los Angeles,06037271400,4,Yes,Yes,No,Yes,Yes,No,No,No
Los Angeles,06037271500,4,Yes,Yes,No,Yes,Yes,No,No,No
Los Angeles,06037271600,5,Yes,Yes,Yes,Yes,Yes,No,No,No
Los Angeles,06037271702,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037271703,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037271704,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037271801,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037271803,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037271804,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037271901,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037271902,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037272100,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037272201,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037272202,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037272301,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037272302,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037273100,5,Yes,Yes,Yes,Yes,Yes,No,No,No
Los Angeles,06037273200,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037273300,3,Yes,Yes,No,Yes,No,No,No,No
Los Angeles,06037273403,3,Yes,Yes,No,Yes,No,No,No,No
Los Angeles,06037273404,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037273502,3,Yes,Yes,No,Yes,No,No,No,No
Los Angeles,06037273600,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037273700,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037273800,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037273902,3,Yes,Yes,No,Yes,No,No,No,No
Los Angeles,06037274100,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037274202,3,Yes,Yes,No,Yes,No,No,No,No
Los Angeles,06037275101,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037275102,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037275200,3,Yes,Yes,No,Yes,No,No,No,No
Los Angeles,06037275311,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037275312,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037275313,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037275400,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037275500,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037275603,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037275604,3,No,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037275605,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037276000,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037276101,3,No,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037276102,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037276400,3,Yes,Yes,No,Yes,No,No,No,No
Los Angeles,06037276500,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037276601,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037276605,3,Yes,Yes,No,Yes,No,No,No,No
Los Angeles,06037276606,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037276607,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037276608,3,Yes,Yes,No,Yes,No,No,No,No
Los Angeles,06037277000,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037277100,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037277200,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037277400,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037278001,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037278102,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037291110,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037291120,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037291130,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037291210,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037291220,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037291300,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037292001,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037292002,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037293203,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037293204,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037293205,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037293206,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037293301,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037293302,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037293304,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037293306,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037293307,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037294110,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037294120,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037294200,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037294301,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037294302,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037294410,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037294421,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037294510,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037294520,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037294610,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037294620,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037294701,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037294810,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037294820,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037294830,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037294900,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037295103,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037296210,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037296220,3,No,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037296300,4,No,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037296401,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037296402,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037296500,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037296600,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037296901,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037296902,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037297001,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037297002,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037297110,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037297120,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037297201,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037297202,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037297300,3,Yes,No,Yes,Yes,No,No,No,No
Los Angeles,06037297400,3,Yes,No,Yes,Yes,No,No,No,No
Los Angeles,06037297501,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037297502,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037297601,3,Yes,No,No,Yes,No,Yes,No,No
Los Angeles,06037297602,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037300100,1,Yes,No,No,No,No,No,No,No
Los Angeles,06037300200,1,Yes,No,No,No,No,No,No,No
Los Angeles,06037300301,2,Yes,No,No,Yes,No,No,No,No
Los Angeles,06037300400,3,Yes,No,Yes,Yes,No,No,No,No
Los Angeles,06037300501,2,Yes,No,Yes,No,No,No,No,No
Los Angeles,06037300503,2,Yes,No,Yes,No,No,No,No,No
Los Angeles,06037300601,2,Yes,No,Yes,No,No,No,No,No
Los Angeles,06037300602,1,Yes,No,No,No,No,No,No,No
Los Angeles,06037300701,3,Yes,No,Yes,Yes,No,No,No,No
Los Angeles,06037300702,2,Yes,Yes,No,No,No,No,No,No
Los Angeles,06037300800,2,Yes,No,Yes,No,No,No,No,No
Los Angeles,06037300901,3,Yes,Yes,Yes,No,No,No,No,No
Los Angeles,06037300902,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037301000,3,Yes,No,Yes,Yes,No,No,No,No
Los Angeles,06037301100,3,Yes,Yes,Yes,No,No,No,No,No
Los Angeles,06037301203,2,Yes,Yes,No,No,No,No,No,No
Los Angeles,06037301204,2,Yes,Yes,No,No,No,No,No,No
Los Angeles,06037301205,3,Yes,Yes,No,No,No,Yes,No,No
Los Angeles,06037301206,3,Yes,Yes,No,No,No,Yes,No,No
Los Angeles,06037301300,2,Yes,Yes,No,No,No,No,No,No
Los Angeles,06037301400,1,Yes,No,No,No,No,No,No,No
Los Angeles,06037301501,3,Yes,Yes,No,No,No,Yes,No,No
Los Angeles,06037301502,3,Yes,Yes,No,No,No,Yes,No,No
Los Angeles,06037301601,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037301602,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037301701,4,Yes,Yes,Yes,No,No,Yes,No,No
Los Angeles,06037301702,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037301801,4,Yes,Yes,Yes,No,No,Yes,No,No
Los Angeles,06037301802,3,Yes,Yes,No,No,No,Yes,No,No
Los Angeles,06037301901,3,Yes,Yes,Yes,No,No,No,No,No
Los Angeles,06037301902,3,Yes,Yes,Yes,No,No,No,No,No
Los Angeles,06037302002,2,Yes,Yes,No,No,No,No,No,No
Los Angeles,06037302003,2,Yes,Yes,No,No,No,No,No,No
Los Angeles,06037302004,3,Yes,Yes,Yes,No,No,No,No,No
Los Angeles,06037302102,4,Yes,Yes,Yes,Yes,No,No,No,No
Los Angeles,06037302103,2,Yes,Yes,No,No,No,No,No,No
Los Angeles,06037302104,3,Yes,No,Yes,Yes,No,No,No,No
Los Angeles,06037302201,2,Yes,Yes,No,No,No,No,No,No
Los Angeles,06037302202,2,Yes,Yes,No,No,No,No,No,No
Los Angeles,06037302301,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037302302,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037302401,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037302503,2,Yes,Yes,No,No,No,No,No,No
Los Angeles,06037302504,3,Yes,Yes,No,No,No,Yes,No,No
Los Angeles,06037302505,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037302506,4,Yes,Yes,No,Yes,No,Yes,No,No
Los Angeles,06037310100,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Los Angeles,06037310201,1,Yes,No,No,No,No,No,No,No
Los Angeles,06037310202,1,Yes,No,No,No,No,No,No,No
Los Angeles,06037310300,3,Yes,Yes,No,No,No,Yes,No,No
