Local Health Jurisdiction,Census Tract,Number of indicators,At least 25% of the residential parcels were built before 1978,Census tract is within 1.7 miles of a current or former lead emitting facility,"Census tract is within 1,000 feet of a state highway",Census tract is within the city of a known current or historic smelter,Census tract is within 1 km of an airport using leaded avgas,Census tract is within 1 km of a railroad,"Census tract is within 1,000 feet of a speedway",Census tract is served by a water district with at least one known leaded service line or fitting
Alameda,06001407200,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001407300,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001407400,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001407500,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001407600,5,Yes,Yes,No,Yes,No,Yes,No,Yes
Alameda,06001407700,5,Yes,Yes,Yes,Yes,No,No,No,Yes
Alameda,06001407800,5,Yes,Yes,Yes,Yes,No,No,No,Yes
Alameda,06001407900,5,Yes,Yes,Yes,Yes,No,No,No,Yes
Alameda,06001408000,4,Yes,No,Yes,Yes,No,No,No,Yes
Alameda,06001408100,4,Yes,No,Yes,Yes,No,No,No,Yes
Alameda,06001408200,4,Yes,No,Yes,Yes,No,No,No,Yes
Alameda,06001408300,4,Yes,No,Yes,Yes,No,No,No,Yes
Alameda,06001408400,4,Yes,Yes,No,Yes,No,No,No,Yes
Alameda,06001408500,5,Yes,Yes,Yes,Yes,No,No,No,Yes
Alameda,06001408600,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001408700,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001408800,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001408900,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001409000,7,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
Alameda,06001409100,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001409200,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001409300,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001409400,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001409500,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001409600,5,Yes,Yes,Yes,Yes,No,No,No,Yes
Alameda,06001409700,4,Yes,Yes,No,Yes,No,No,No,Yes
Alameda,06001409800,4,Yes,No,Yes,Yes,No,No,No,Yes
Alameda,06001409900,4,Yes,No,Yes,Yes,No,No,No,Yes
Alameda,06001410000,4,Yes,No,Yes,Yes,No,No,No,Yes
Alameda,06001410100,4,Yes,No,Yes,Yes,No,No,No,Yes
Alameda,06001410200,4,Yes,Yes,No,Yes,No,No,No,Yes
Alameda,06001410300,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001410400,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001410500,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001420100,3,Yes,Yes,No,No,No,No,No,Yes
Alameda,06001420200,5,Yes,Yes,Yes,No,No,Yes,No,Yes
Alameda,06001420301,5,Yes,Yes,Yes,No,No,Yes,No,Yes
Alameda,06001420302,5,Yes,Yes,Yes,No,No,Yes,No,Yes
Alameda,06001420401,4,No,Yes,Yes,No,No,Yes,No,Yes
Alameda,06001420402,4,No,Yes,Yes,No,No,Yes,No,Yes
Alameda,06001420500,5,Yes,Yes,Yes,No,No,Yes,No,Yes
Alameda,06001420600,3,Yes,Yes,No,No,No,No,No,Yes
Berkeley,06001421100,2,Yes,No,No,No,No,No,No,Yes
Berkeley,06001421200,2,Yes,No,No,No,No,No,No,Yes
Berkeley,06001421300,3,Yes,Yes,No,No,No,No,No,Yes
Berkeley,06001421400,3,Yes,Yes,No,No,No,No,No,Yes
Berkeley,06001421500,2,Yes,No,No,No,No,No,No,Yes
Berkeley,06001421600,3,Yes,No,No,Yes,No,No,No,Yes
Berkeley,06001421700,3,Yes,Yes,No,No,No,No,No,Yes
Berkeley,06001421800,3,Yes,Yes,No,No,No,No,No,Yes
Berkeley,06001421900,5,Yes,Yes,Yes,No,No,Yes,No,Yes
Berkeley,06001422000,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Berkeley,06001422100,5,Yes,Yes,Yes,No,No,Yes,No,Yes
Berkeley,06001422200,5,Yes,Yes,Yes,No,No,Yes,No,Yes
Berkeley,06001422300,3,Yes,Yes,No,No,No,No,No,Yes
Berkeley,06001422400,3,Yes,Yes,No,No,No,No,No,Yes
Berkeley,06001422500,2,Yes,No,No,No,No,No,No,Yes
Berkeley,06001422700,3,Yes,No,No,Yes,No,No,No,Yes
Berkeley,06001422800,3,Yes,Yes,No,No,No,No,No,Yes
